sso_id,export_countries,export_commodity_codes
213860,"[{'region': 'South Asia', 'country_name': 'Bhutan', 'country_iso2_code': 'BT'}]","[{'commodity_code': '851310', 'commodity_name': 'Lamp and lighting fitting'}]"
213862,"[{'region': 'Latin America and Caribbean', 'country_name': 'Jamaica', 'country_iso2_code': 'JM'}]","[{'commodity_code': '950662', 'commodity_name': 'Basketball'}]"
213864,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '090122', 'commodity_name': ""Dominic's Coffee""}]"
213865,[],"[{'commodity_code': '611595', 'commodity_name': 'Socks'}]"
213867,[],[]
213868,[],[]
213870,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '090111', 'commodity_name': 'shirt'}]"
213671,[],[]
207243,"[{'region': 'Middle East, Afghanistan and Pakistan', 'country_name': 'Afghanistan', 'country_iso2_code': 'AF'}]","[{'commodity_code': '190410', 'commodity_name': 'Breakfast cereal'}]"
213873,[],[]
207246,"[{'region': 'North America', 'country_name': 'United States', 'country_iso2_code': 'US'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
213875,[],[]
213876,[],[]
213877,[],[]
213878,[],[]
213879,[],[]
213880,[],[]
213881,[],"[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
205715,[],[]
213883,[],[]
213884,[],[]
204699,[],[]
213435,[],[]
213885,[],[]
213887,[],[]
213890,[],[]
213892,[],[]
213894,[],[]
213896,[],[]
213897,[],[]
214030,[],[]
214033,[],[]
205208,[],"[{'commodity_code': '080450', 'commodity_name': 'Mango'}]"
214032,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213705,[],[]
214234,[],[]
214368,[],[]
214369,[],[]
214370,"[{'region': 'Asia Pacific', 'country_name': 'Australia', 'country_iso2_code': 'AU'}]",[]
214437,[],[]
214438,[],"[{'commodity_code': '190410', 'commodity_name': 'Toasties'}]"
214639,[],"[{'commodity_code': '081110', 'commodity_name': 'Strawberry'}]"
108350,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '190590', 'commodity_name': 'Cake'}]"
213871,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '080310', 'commodity_name': 'Fruit'}]"
213891,"[{'region': 'Africa', 'country_name': 'Eswatini', 'country_iso2_code': 'SZ'}]","[{'commodity_code': '940179', 'commodity_name': 'Seat'}]"
208528,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '220300', 'commodity_name': 'Alcoholic beer'}]"
213889,"[{'region': 'South Asia', 'country_name': 'India', 'country_iso2_code': 'IN'}]","[{'commodity_code': '040210', 'commodity_name': 'Milk'}]"
213886,"[{'region': 'South Asia', 'country_name': 'India', 'country_iso2_code': 'IN'}]","[{'commodity_code': '040210', 'commodity_name': 'Milk'}]"
213872,"[{'region': 'China and Hong Kong', 'country_name': 'China', 'country_iso2_code': 'CN'}]","[{'commodity_code': '690590', 'commodity_name': 'Tile'}]"
213866,[],[]
214034,"[{'region': 'South Asia', 'country_name': 'India', 'country_iso2_code': 'IN'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
214707,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '090210', 'commodity_name': 'Tea'}]"
214640,"[{'region': 'Africa', 'country_name': 'Algeria', 'country_iso2_code': 'DZ'}]","[{'commodity_code': '870321', 'commodity_name': 'Land vehicle'}]"
214840,[],[]
214842,[],[]
